x,float_direct,float_expanded,double_direct,double_expanded,quad_direct,quad_expanded
0.999902800000000000023,-8.20613171e-29,4.76837158e-07,-8.1971683490316191e-29,3.5527136788005009e-15,-8.19716834902009864767675344542387677e-29,-8.19644969452097383286975316717063708e-29
0.999902849999999999997,-8.17097566e-29,9.53674316e-07,-8.1676973075210543e-29,3.5527136788005009e-15,-8.16769730752676567976430804142028054e-29,-8.16779185694849176337628021538497336e-29
0.999902900000000000025,-8.13595082e-29,-2.38418579e-06,-8.1383171324510225e-29,-4.4408920985006262e-15,-8.13831713247382901580555851782844344e-29,-8.13820957300270382067334039418686888e-29
0.999902949999999999999,-8.10105417e-29,0,-8.1090275902968084e-29,-1.7763568394002505e-15,-8.10902759027169608184806195890762899e-29,-8.10924358663911979344337848593039157e-29
0.999903000000000000027,-8.06628572e-29,0,-8.0798284478193116e-29,-1.7763568394002505e-15,-8.07982844781128398215102738034913155e-29,-8.07996945148443380847692762120310068e-29
0.999903050000000000002,-8.06628572e-29,0,-8.0507194724545535e-29,4.4408920985006262e-15,-8.05071947246353144155955041260482255e-29,-8.05100346512084978124696571294662337e-29
0.99990310000000000003,-8.03164546e-29,-1.43051147e-06,-8.0217004320525498e-29,-2.6645352591003757e-15,-8.02170043207840420131932772070223365e-29,-8.02203747875726575401700380469014606e-29
0.999903150000000000004,-7.9971328e-29,2.86102295e-06,-7.9927710950058876e-29,3.5527136788005009e-15,-7.99277109498440692342198289071916981e-29,-7.99245519481147781131406398349204158e-29
0.999903200000000000032,-7.96274652e-29,1.43051147e-06,-7.9639312299922142e-29,2.6645352591003757e-15,-7.96393122998759167591736610644565579e-29,-7.96379735723899574182059103170637786e-29
0.999903250000000000006,-7.92848784e-29,-1.90734863e-06,-7.9351806063588996e-29,2.6645352591003757e-15,-7.93518060637106980570931274823884833e-29,-7.93575581724871758780009599286234132e-29
0.999903300000000000035,-7.89435555e-29,4.76837158e-07,-7.9065189938651974e-29,6.2172489379008766e-15,-7.90651899389402350375278512029313424e-29,-7.90648168209403160283364512813505042e-29
0.999903350000000000009,-7.89435555e-29,4.76837158e-07,-7.8779461628091557e-29,8.8817841970012523e-16,-7.87794616279121765274623433256447757e-29,-7.8778238445215495333401721763493867e-29
0.999903399999999999983,-7.86034904e-29,2.86102295e-06,-7.8494618837733096e-29,4.4408920985006262e-15,-7.84946188377204529742971132788299897e-29,-7.84947415574016942158318818103453657e-29
0.999903450000000000011,-7.82646832e-29,-9.53674316e-07,-7.8210659280046062e-29,-2.6645352591003757e-15,-7.82106592801988529960818011625756097e-29,-7.82081631816768735208971522924887286e-29
0.999903499999999999985,-7.79271279e-29,1.43051147e-06,-7.7927580672224699e-29,2.6645352591003757e-15,-7.79275806719145902614024841472635094e-29,-7.79246662938630724033273123393402272e-29
0.999903550000000000014,-7.75908244e-29,0,-7.7645380734303627e-29,-4.4408920985006262e-15,-7.76453807341588059882131783689720602e-29,-7.76411694060492712857574723861917259e-29
0.999903599999999999988,-7.72557607e-29,4.76837158e-07,-7.7364057192921885e-29,9.7699626167013776e-15,-7.73640571929416870730269085121540043e-29,-7.73669169819685289002823011271676323e-29
0.999903650000000000016,-7.69219369e-29,9.53674316e-07,-7.7083607778799635e-29,5.3290705182007514e-15,-7.70836077789826887866254764403655507e-29,-7.70865015820657473600773507387272669e-29
0.99990369999999999999,-7.69219369e-29,9.53674316e-07,-7.6804030227979851e-29,-6.2172489379008766e-15,-7.68040302277056528752351107458004679e-29,-7.68030046942519462425075107855787656e-29
0.999903750000000000019,-7.65893589e-29,-4.76837158e-07,-7.6525322279340077e-29,4.4408920985006262e-15,-7.65253222792290606265949925325034833e-29,-7.65225892943491647023025603971384002e-29
0.999903799999999999993,-7.62580026e-29,1.90734863e-06,-7.6247481678309713e-29,7.1054273576010019e-15,-7.6247481678361151006099160152862191e-29,-7.62514183581794418941922787028224424e-29
0.999903850000000000021,-7.59278802e-29,4.76837158e-07,-7.5970506174377653e-29,-3.5527136788005009e-15,-7.59705061745902039989052910726505111e-29,-7.59648399824546211992575491849658052e-29
0.999903899999999999995,-7.55989915e-29,-9.53674316e-07,-7.5694393522318801e-29,-8.8817841970012523e-16,-7.56943935220796588436984424854173859e-29,-7.56998320221069375458770466200661192e-29
0.999903950000000000023,-7.52713186e-29,9.53674316e-07,-7.5419141479736466e-29,-1.7763568394002505e-15,-7.54191414796584275568471754416295476e-29,-7.54224981101151755830369857963338897e-29
0.999903999999999999998,-7.52713186e-29,9.53674316e-07,-7.5144747810733751e-29,-5.3290705182007514e-15,-7.5144747810816013326119631528855381e-29,-7.51420827102123940428320354078935243e-29
0.999904050000000000026,-7.49448615e-29,3.33786011e-06,-7.4871210283451538e-29,1.7763568394002505e-15,-7.48712102836928541232186597265169127e-29,-7.48678302861316516573568641488694306e-29
0.9999041,-7.461962e-29,0,-7.459852667128031e-29,0,-7.45985266710754413194566607585165805e-29,-7.4593577862050909271881692889845337e-29
0.999904150000000000028,-7.42955884e-29,4.76837158e-07,-7.4326694750432597e-29,3.5527136788005009e-15,-7.43266947503866932933249405439057304e-29,-7.43254884137922060411363007602375151e-29
0.999904200000000000002,-7.39727664e-29,9.53674316e-07,-7.4055712303568739e-29,-3.5527136788005009e-15,-7.40557123036810743298106950669945472e-29,-7.40604804534445223877557981953378291e-29
0.999904250000000000031,-7.36511421e-29,-4.76837158e-07,-7.378557711736566e-29,-8.8817841970012523e-16,-7.37855771176349981299783689336519464e-29,-7.37800650535417408475508478068974637e-29
0.999904300000000000005,-7.36511421e-29,-4.76837158e-07,-7.3516286983713357e-29,1.7763568394002505e-15,-7.35162869835419470552901025620142773e-29,-7.35212200690160963489001243714140494e-29
0.999904350000000000033,-7.33307275e-29,1.90734863e-06,-7.3247839697317443e-29,-1.7763568394002505e-15,-7.32478396973029054464984223230171703e-29,-7.3240804669113314808695173982973684e-29
0.999904400000000000007,-7.30115047e-29,0,-7.2980233059279818e-29,8.8817841970012523e-16,-7.29802330594214792740104264348011014e-29,-7.29881226604097094647742296769065415e-29
0.999904450000000000036,-7.26934674e-29,2.38418579e-06,-7.2713464875289212e-29,-3.5527136788005009e-15,-7.27134648749943591737116765611224664e-29,-7.27200332121510062340288375472987197e-29
