x,direct_f,expand_f,horner_f,direct_d,expand_d,horner_d,direct_q,expand_q,horner_q
0.70229999999999992,5.46749197e-06,8.10623169e-06,6.61611557e-06,5.4674943946750026e-06,5.4674943967825129e-06,5.4674943961163791e-06,5.46749439467500195304427034512729069e-06,5.46749439467500195304427035133733992e-06,5.46749439467500195304427034267065517e-06
0.70239999999999991,5.4491511e-06,3.81469727e-06,2.92062759e-06,5.4491563456664606e-06,5.4491563421521505e-06,5.4491563443725965e-06,5.44915634566646014170379699430777845e-06,5.44915634566646014170379700207302067e-06,5.44915634566646014170379699225077795e-06
0.7024999999999999,5.43087663e-06,9.53674316e-06,6.61611557e-06,5.4308736706906744e-06,5.4308736672226132e-06,5.4308736722186168e-06,5.43087367069067341754095683040965279e-06,5.4308736706906734175409568270902676e-06,5.4308736706906734175409568270902676e-06
0.7026,5.41264671e-06,1.04904175e-05,4.94718552e-06,5.4126462210676622e-06,5.4126462281089971e-06,5.4126462213366366e-06,5.41264622106766137581729167912762042e-06,5.41264622106766137581729168059462341e-06,5.41264622106766137581729167616498454e-06
0.70269999999999999,5.39447092e-06,3.81469727e-06,6.73532486e-06,5.3944738484669292e-06,5.3944738462874398e-06,5.3944738496181088e-06,5.39447384846692818704885479199709231e-06,5.39447384846692818704885479461713991e-06,5.39447384846692818704885478903194307e-06
0.70279999999999998,5.3763606e-06,9.53674316e-06,5.90085983e-06,5.3763564049066367e-06,5.3763564009656761e-06,5.3763564045183898e-06,5.37635640490663704965364255811321967e-06,5.37635640490663704965364255294181815e-06,5.37635640490663704965364255737145702e-06
0.70289999999999997,5.3582944e-06,5.24520874e-06,2.98023224e-06,5.3582937427529881e-06,5.3582937447060885e-06,5.358293745594267e-06,5.35829374275298825162679600664998697e-06,5.35829374275298825162679600975486134e-06,5.35829374275298825162679600513262948e-06
0.70299999999999996,5.34028368e-06,2.38418579e-06,4.17232513e-06,5.3402857147194977e-06,5.3402857123074909e-06,5.3402857098650003e-06,5.34028571471949713901785242745845355e-06,5.34028571471949713901785242864114487e-06,5.34028571471949713901785242652262193e-06
0.70309999999999995,5.32232661e-06,5.7220459e-06,3.39746475e-06,5.3223321738662932e-06,5.3223321776485477e-06,5.3223321815343283e-06,5.32233217386629353120466607462572938e-06,5.32233217386629353120466607351054156e-06,5.32233217386629353120466607389572755e-06
0.70319999999999994,5.3044364e-06,1.90734863e-06,6.07967377e-06,5.3044329735994228e-06,5.3044329719753591e-06,5.3044329709761584e-06,5.30443297359942231421413448870306566e-06,5.30443297359942231421413448476409355e-06,5.30443297359942231421413449285299932e-06
0.70329999999999993,5.28658711e-06,4.76837158e-06,6.73532486e-06,5.2865879676701449e-06,5.2865879656138759e-06,5.2865879666130766e-06,5.28658796767014521050447030139176913e-06,5.28658796767014521050447030039633259e-06,5.28658796767014521050447029798892016e-06
0.70339999999999991,5.26879512e-06,5.7220459e-06,5.36441803e-06,5.2687970101742442e-06,5.2687970111264804e-06,5.2687970095721681e-06,5.26879701017424372362535885069264501e-06,5.26879701017424372362535884909843664e-06,5.26879701017424372362535884957991912e-06
0.7034999999999999,5.25106498e-06,3.81469727e-06,5.48362732e-06,5.2510599555513228e-06,5.2510599539701275e-06,5.2510599540811498e-06,5.2510599555513232561739413211694867e-06,5.25105995555132325617394131506812956e-06,5.2510599555513232561739413205570299e-06
0.7036,5.23337849e-06,5.24520874e-06,3.57627869e-06,5.2333766585840982e-06,5.2333766671353033e-06,5.2333766579204521e-06,5.23337665858409879685056461848943458e-06,5.23337665858409879685056461907667041e-06,5.23337665858409879685056462071371086e-06
0.70369999999999999,5.21574657e-06,4.29153442e-06,3.69548798e-06,5.2157469743977813e-06,5.2157469765390374e-06,5.2157469752067698e-06,5.21574697439777985017086272668206336e-06,5.21574697439777985017086272038571448e-06,5.2157469743977798501708627266449868e-06
0.70379999999999998,5.19816604e-06,5.7220459e-06,7.21216202e-06,5.1981707584592609e-06,5.1981707542836375e-06,5.1981707567261282e-06,5.19817075845926027065343121520032721e-06,5.19817075845926027065343122043618476e-06,5.19817075845926027065343121523617391e-06
0.70389999999999997,5.18065099e-06,5.7220459e-06,6.85453415e-06,5.1806478665765057e-06,5.1806478662541622e-06,5.1806478681415413e-06,5.18064786657650564727932001273474921e-06,5.18064786657650564727932001455226478e-06,5.1806478665765056472793200069448415e-06
0.70399999999999996,5.16317823e-06,8.58306885e-06,7.74860382e-06,5.1631781548978449e-06,5.1631781587957448e-06,5.1631781573524549e-06,5.16317815489784360203404408713163574e-06,5.16317815489784360203404408541358903e-06,5.163178154897843602034044086569147e-06
0.70409999999999995,5.14575913e-06,9.53674316e-06,5.36441803e-06,5.1457614799112741e-06,5.1457614782535188e-06,5.1457614781424965e-06,5.14576147991127491450468371475479583e-06,5.14576147991127491450468371869897757e-06,5.14576147991127491450468371571378616e-06
0.70419999999999994,5.12839233e-06,5.24520874e-06,6.37769699e-06,5.1283976984437858e-06,5.1283976940652565e-06,5.1283976990612601e-06,5.12839769844378580874308066371076431e-06,5.12839769844378580874308066281303119e-06,5.12839769844378580874308066185006622e-06
0.70429999999999993,5.11108919e-06,7.15255737e-06,8.82148743e-06,5.1110866676606629e-06,5.1110866756687301e-06,5.1110866667869459e-06,5.1110866676606614008258263496942572e-06,5.11108666766066140082582634772871309e-06,5.11108666766066140082582634561019015e-06
0.70439999999999992,5.09382744e-06,4.76837158e-07,5.84125519e-06,5.093828245064799e-06,5.0938282445400773e-06,5.093828245539278e-06,5.09382824506480030554332772803553238e-06,5.09382824506480030554332772793247459e-06,5.09382824506480030554332772311764973e-06
0.7044999999999999,5.07661889e-06,1.90734863e-06,2.98023224e-06,5.0766222884960303e-06,5.0766222789988547e-06,5.0766222913223302e-06,5.07662228849603040065182531641297925e-06,5.07662228849603040065182531451467856e-06,5.07662228849603040065182531836653845e-06
0.7046,5.0594731e-06,1.90734863e-06,4.88758087e-06,5.0594686561304069e-06,5.059468658252797e-06,5.0594686550331502e-06,5.05946865613040673175959237756537645e-06,5.05946865613040673175959237250076198e-06,5.05946865613040673175959237827855181e-06
0.70469999999999999,5.04236868e-06,1.04904175e-05,7.39097595e-06,5.0423672064796062e-06,5.042367203778042e-06,5.0423672011135068e-06,5.042367206479605706325794871087368e-06,5.04236720647960570632579487466841015e-06,5.04236720647960570632579487197210823e-06
0.70479999999999998,5.02531611e-06,1.90734863e-06,1.25169754e-06,5.0253177983901294e-06,5.0253177992232168e-06,5.0253178006665067e-06,5.02531779839013005531045779621822891e-06,5.02531779839013005531045779638210751e-06,5.02531779839013005531045779744136898e-06
0.70489999999999997,5.00831629e-06,5.24520874e-06,5.24520874e-06,5.0083202910427057e-06,5.0083202864925624e-06,5.0083202898232315e-06,5.00832029104270544738722639233186009e-06,5.00832029104270544738722639130632943e-06,5.00832029104270544738722639409892785e-06
